"M010718005.nex","multiunit","excitatory"
"M010718017.nex","multiunit","excitatory, good data"
"M010818019.nex","multiunit","suppressive, good data"
"M010818023.nex","singleunit ","suppressive"
"M010818024.nex","singleunit ","suppressive"
"M010818016.nex","multiunit","hard to tell, maybe excitatory?"
"M010818017.nex","multiunit","hard to tell, maybe excitatory?"
"M032518012.nex","multiunit","not clear whats going on"
